title,franchise,year,generation,console,website,publisher,developer,genre,confidence,notes,source_file
Persona 3 FES,Persona,2007,6th Generation,Sony PlayStation 2,,Atlus,Atlus,JRPG,High,,game_lists_6th_gen_enriched
Persona 4,Persona,2008,6th Generation,Sony PlayStation 2,,Atlus,Atlus,JRPG,High,,game_lists_6th_gen_enriched
Pikmin,Pikmin,2001,6th Generation,Nintendo GameCube,,Nintendo,Nintendo EAD,RTS,High,,game_lists_6th_gen_enriched
Pikmin 2,Pikmin,2004,6th Generation,Nintendo GameCube,,Nintendo,Nintendo EAD,RTS,High,,game_lists_6th_gen_enriched
Pirates of the Caribbean: At World’s End,Pirates of the Caribbean,2007,6th Generation,Sony PlayStation 2,,Disney Interactive Studios,Eurocom,Action-adventure,Medium,Developer varies by platform.,game_lists_6th_gen_enriched
Pirates of the Caribbean: The Legend of Jack Sparrow,Pirates of the Caribbean,2006,6th Generation,Sony PlayStation 2,,Disney Interactive Studios,Eurocom,Action-adventure,Medium,Developer varies by platform.,game_lists_6th_gen_enriched
Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean,2003,6th Generation,Nintendo GameBoy Advance,,Disney Interactive Studios,Eurocom,Action-adventure,Medium,Developer varies by platform.,game_lists_6th_gen_enriched
Pirates of the Caribbean: Dead Man’s Chest,Pirates of the Caribbean,2006,6th Generation,Nintendo GameBoy Advance,,Disney Interactive Studios,Eurocom,Action-adventure,Medium,Developer varies by platform.,game_lists_6th_gen_enriched
Pirates of the Caribbean: At World’s End,Pirates of the Caribbean,2003,6th Generation,Nintendo DS,,Disney Interactive Studios,Eurocom,Action-adventure,Medium,Developer varies by platform.,game_lists_6th_gen_enriched
Pirates of the Caribbean: Dead Man’s Chest,Pirates of the Caribbean,2006,6th Generation,Nintendo DS,,Disney Interactive Studios,Eurocom,Action-adventure,Medium,Developer varies by platform.,game_lists_6th_gen_enriched
Pirates of the Caribbean: At World’s End,Pirates of the Caribbean,2007,6th Generation,Sony PlayStation Portable,,Disney Interactive Studios,Eurocom,Action-adventure,Medium,Developer varies by platform.,game_lists_6th_gen_enriched
Pirates of the Caribbean: Dead Man’s Chest,Pirates of the Caribbean,2006,6th Generation,Sony PlayStation Portable,,Disney Interactive Studios,Eurocom,Action-adventure,Medium,Developer varies by platform.,game_lists_6th_gen_enriched
Planet of the Apes,Planet of the Apes,2001,6th Generation,Nintendo GameBoy Advance,,Ubisoft,Visiware,Action-adventure,Medium,,game_lists_6th_gen_enriched
Plants vs. Zombies,Plants vs. Zombies,2011,6th Generation,Nintendo DS,,Electronic Arts,PopCap Games,Tower Defense,High,,game_lists_6th_gen_enriched
Pokémon Emerald,Pokémon,2004,6th Generation,Nintendo GameBoy Advance,,Nintendo,Game Freak,RPG,Medium,,game_lists_6th_gen_enriched
Pokémon FireRed,Pokémon,2004,6th Generation,Nintendo GameBoy Advance,,Nintendo,Game Freak,RPG,Medium,,game_lists_6th_gen_enriched
Pokémon LeafGreen,Pokémon,2004,6th Generation,Nintendo GameBoy Advance,,Nintendo,Game Freak,RPG,Medium,,game_lists_6th_gen_enriched
Pokémon Mystery Dungeon: Red Rescue Team,Pokémon,2005,6th Generation,Nintendo GameBoy Advance,,Nintendo,Game Freak,RPG,Medium,,game_lists_6th_gen_enriched
Pokémon Pinball: Ruby & Sapphire,Pokémon,2003,6th Generation,Nintendo GameBoy Advance,,Nintendo,Game Freak,RPG,Medium,,game_lists_6th_gen_enriched
Pokémon Ruby,Pokémon,2002,6th Generation,Nintendo GameBoy Advance,,Nintendo,Game Freak,RPG,Medium,,game_lists_6th_gen_enriched
Pokémon Sapphire,Pokémon,2002,6th Generation,Nintendo GameBoy Advance,,Nintendo,Game Freak,RPG,Medium,,game_lists_6th_gen_enriched
Pokémon Box: Ruby and Sapphire,Pokémon,2003,6th Generation,Nintendo GameCube,,Nintendo,Game Freak,RPG,Medium,,game_lists_6th_gen_enriched
Pokémon Channel,Pokémon,2003,6th Generation,Nintendo GameCube,,Nintendo,Game Freak,RPG,Medium,,game_lists_6th_gen_enriched
Pokémon Colosseum,Pokémon,2003,6th Generation,Nintendo GameCube,,Nintendo,Game Freak,RPG,Medium,,game_lists_6th_gen_enriched
Pokémon XD: Gale of Darkness,Pokémon,2005,6th Generation,Nintendo GameCube,,Nintendo,Game Freak,RPG,Medium,,game_lists_6th_gen_enriched
Pokémon Black,Pokémon,2010,6th Generation,Nintendo DS,,Nintendo,Game Freak,RPG,High,,game_lists_6th_gen_enriched
Pokémon Black 2,Pokémon,2012,6th Generation,Nintendo DS,,Nintendo,Game Freak,RPG,High,,game_lists_6th_gen_enriched
Pokémon Card Game: How to Play DS,Pokémon,2011,6th Generation,Nintendo DS,,Nintendo,Game Freak,RPG,Medium,,game_lists_6th_gen_enriched
Pokémon Conquest,Pokémon,2012,6th Generation,Nintendo DS,,Nintendo,Koei Tecmo,Tactical RPG,High,,game_lists_6th_gen_enriched
Pokémon Dash,Pokémon,2004,6th Generation,Nintendo DS,,Nintendo,Ambrella,Racing,High,,game_lists_6th_gen_enriched
Pokémon Diamond,Pokémon,2006,6th Generation,Nintendo DS,,Nintendo,Game Freak,RPG,High,,game_lists_6th_gen_enriched
Pokémon HeartGold,Pokémon,2009,6th Generation,Nintendo DS,,Nintendo,Game Freak,RPG,High,,game_lists_6th_gen_enriched
Pokémon Pearl,Pokémon,2006,6th Generation,Nintendo DS,,Nintendo,Game Freak,RPG,High,,game_lists_6th_gen_enriched
Pokémon Platinum,Pokémon,2008,6th Generation,Nintendo DS,,Nintendo,Game Freak,RPG,High,,game_lists_6th_gen_enriched
Pokémon SoulSilver,Pokémon,2009,6th Generation,Nintendo DS,,Nintendo,Game Freak,RPG,High,,game_lists_6th_gen_enriched
Pokémon Trozei!,Pokémon,2005,6th Generation,Nintendo DS,,Nintendo,Genius Sonority,Puzzle,High,,game_lists_6th_gen_enriched
Pokémon White,Pokémon,2010,6th Generation,Nintendo DS,,Nintendo,Game Freak,RPG,High,,game_lists_6th_gen_enriched
Pokémon White 2,Pokémon,2012,6th Generation,Nintendo DS,,Nintendo,Game Freak,RPG,High,,game_lists_6th_gen_enriched
Pokémon Mystery Dungeon: Blue Rescue Team,Pokémon,2005,6th Generation,Nintendo DS,,Nintendo,Chunsoft,Roguelike,High,,game_lists_6th_gen_enriched
Pokémon Mystery Dungeon: Explorers of Darkness,Pokémon,2007,6th Generation,Nintendo DS,,Nintendo,Chunsoft,Roguelike,High,,game_lists_6th_gen_enriched
Pokémon Mystery Dungeon: Explorers of Sky,Pokémon,2009,6th Generation,Nintendo DS,,Nintendo,Chunsoft,Roguelike,High,,game_lists_6th_gen_enriched
Pokémon Mystery Dungeon: Explorers of Time,Pokémon,2007,6th Generation,Nintendo DS,,Nintendo,Chunsoft,Roguelike,High,,game_lists_6th_gen_enriched
Pokémon Ranger,Pokémon,2006,6th Generation,Nintendo DS,,Nintendo,Creatures,Action RPG,High,,game_lists_6th_gen_enriched
Pokémon Ranger: Guardian Signs,Pokémon,2010,6th Generation,Nintendo DS,,Nintendo,Creatures,Action RPG,High,,game_lists_6th_gen_enriched
Pokémon Ranger: Shadows of Almia,Pokémon,2008,6th Generation,Nintendo DS,,Nintendo,Creatures,Action RPG,High,,game_lists_6th_gen_enriched
Predator: Concrete Jungle,Predator,2005,6th Generation,Sony PlayStation 2,,Vivendi Universal Games,Eurocom,Action-adventure,High,,game_lists_6th_gen_enriched
Prince of Persia: The Sands of Time,Prince of Persia,2003,6th Generation,Sony PlayStation 2,,Ubisoft,Ubisoft / Evil Empire,Action-adventure,Medium,Developer differs by entry; Rogue Prince by Evil Empire.,game_lists_6th_gen_enriched
Prince of Persia: The Two Thrones,Prince of Persia,2005,6th Generation,Sony PlayStation 2,,Ubisoft,Ubisoft / Evil Empire,Action-adventure,Medium,Developer differs by entry; Rogue Prince by Evil Empire.,game_lists_6th_gen_enriched
Prince of Persia: Warrior Within,Prince of Persia,2004,6th Generation,Sony PlayStation 2,,Ubisoft,Ubisoft / Evil Empire,Action-adventure,Medium,Developer differs by entry; Rogue Prince by Evil Empire.,game_lists_6th_gen_enriched
Prince of Persia: The Sands of Time,Prince of Persia,2003,6th Generation,Nintendo GameBoy Advance,,Ubisoft,Ubisoft / Evil Empire,Action-adventure,Medium,Developer differs by entry; Rogue Prince by Evil Empire.,game_lists_6th_gen_enriched
Prince of Persia: The Sands of Time,Prince of Persia,2003,6th Generation,Nintendo GameCube,,Ubisoft,Ubisoft / Evil Empire,Action-adventure,Medium,Developer differs by entry; Rogue Prince by Evil Empire.,game_lists_6th_gen_enriched
Prince of Persia: The Two Thrones,Prince of Persia,2005,6th Generation,Nintendo GameCube,,Ubisoft,Ubisoft / Evil Empire,Action-adventure,Medium,Developer differs by entry; Rogue Prince by Evil Empire.,game_lists_6th_gen_enriched
Prince of Persia: Warrior Within,Prince of Persia,2004,6th Generation,Nintendo GameCube,,Ubisoft,Ubisoft / Evil Empire,Action-adventure,Medium,Developer differs by entry; Rogue Prince by Evil Empire.,game_lists_6th_gen_enriched
Prince of Persia: The Fallen King,Prince of Persia,2008,6th Generation,Nintendo DS,,Ubisoft,Ubisoft Montreal,Action-adventure,Medium,Developer varies by platform/port.,game_lists_6th_gen_enriched
Prince of Persia: The Forgotten Sands,Prince of Persia,2010,6th Generation,Nintendo DS,,Ubisoft,Ubisoft / Evil Empire,Action-adventure,Medium,Developer differs by entry; Rogue Prince by Evil Empire.,game_lists_6th_gen_enriched
Prince of Persia: Revelations,Prince of Persia,2005,6th Generation,Sony PlayStation Portable,,Ubisoft,Ubisoft Montreal,Action-adventure,Medium,Developer varies by platform/port.,game_lists_6th_gen_enriched
Prince of Persia: Rival Swords,Prince of Persia,2007,6th Generation,Sony PlayStation Portable,,Ubisoft,Ubisoft Montreal,Action-adventure,Medium,Developer varies by platform/port.,game_lists_6th_gen_enriched
Prince of Persia: The Forgotten Sands,Prince of Persia,2010,6th Generation,Sony PlayStation Portable,,Ubisoft,Ubisoft / Evil Empire,Action-adventure,Medium,Developer differs by entry; Rogue Prince by Evil Empire.,game_lists_6th_gen_enriched
Psychonauts,Psychonauts,2005,6th Generation,Sony PlayStation 2,,Double Fine Productions,Double Fine Productions,Platformer,High,,game_lists_6th_gen_enriched
Quake III: Revolution,Quake,2001,6th Generation,Sony PlayStation 2,,Activision,id Software,FPS,High,,game_lists_6th_gen_enriched
Ratchet: Deadlocked,Ratchet & Clank,2005,6th Generation,Sony PlayStation 2,,Sony Interactive Entertainment,Insomniac Games,Third-person Shooter,High,,game_lists_6th_gen_enriched
Ratchet & Clank,Ratchet & Clank,2002,6th Generation,Sony PlayStation 2,,Sony Interactive Entertainment,Insomniac Games,Platformer,High,,game_lists_6th_gen_enriched
Ratchet & Clank: Going Commando,Ratchet & Clank,2003,6th Generation,Sony PlayStation 2,,Sony Interactive Entertainment,Insomniac Games,Platformer,High,,game_lists_6th_gen_enriched
Ratchet & Clank: Size Matters,Ratchet & Clank,2008,6th Generation,Sony PlayStation 2,,Sony Interactive Entertainment,High Impact Games,Platformer,High,,game_lists_6th_gen_enriched
Ratchet & Clank: Up Your Arsenal,Ratchet & Clank,2004,6th Generation,Sony PlayStation 2,,Sony Interactive Entertainment,Insomniac Games,Platformer,High,,game_lists_6th_gen_enriched
Secret Agent Clank,Ratchet & Clank,2009,6th Generation,Sony PlayStation 2,,Sony Interactive Entertainment,High Impact Games,Action-adventure,High,,game_lists_6th_gen_enriched
Ratchet & Clank: Size Matters,Ratchet & Clank,2007,6th Generation,Sony PlayStation Portable,,Sony Interactive Entertainment,High Impact Games,Platformer,High,,game_lists_6th_gen_enriched
Secret Agent Clank,Ratchet & Clank,2008,6th Generation,Sony PlayStation Portable,,Sony Interactive Entertainment,High Impact Games,Action-adventure,High,,game_lists_6th_gen_enriched
Red Dead Revolver,Red Dead,2004,6th Generation,Sony PlayStation 2,,Rockstar Games,Rockstar San Diego,Action-adventure,High,,game_lists_6th_gen_enriched
Resident Evil 4,Resident Evil,2005,6th Generation,Sony PlayStation 2,,Capcom,Capcom Production Studio 4,Survival Horror,High,,game_lists_6th_gen_enriched
Resident Evil - Code: Veronica X,Resident Evil,2001,6th Generation,Sony PlayStation 2,,Capcom,Capcom Production Studio 4,Survival Horror,High,,game_lists_6th_gen_enriched
Resident Evil: Dead Aim,Resident Evil,2003,6th Generation,Sony PlayStation 2,,Capcom,Cavia,Light gun shooter,High,,game_lists_6th_gen_enriched
Resident Evil Outbreak,Resident Evil,2003,6th Generation,Sony PlayStation 2,,Capcom,Capcom Production Studio 1,Survival Horror,High,,game_lists_6th_gen_enriched
Resident Evil Outbreak - File #2,Resident Evil,2004,6th Generation,Sony PlayStation 2,,Capcom,Capcom Production Studio 1,Survival Horror,High,,game_lists_6th_gen_enriched
Resident Evil,Resident Evil,2002,6th Generation,Nintendo GameCube,,Capcom,Capcom,Survival Horror,High,,game_lists_6th_gen_enriched
Resident Evil 2,Resident Evil,2003,6th Generation,Nintendo GameCube,,Capcom,Capcom,Survival Horror,High,,game_lists_6th_gen_enriched
Resident Evil 3: Nemesis,Resident Evil,2003,6th Generation,Nintendo GameCube,,Capcom,Capcom,Survival Horror,High,,game_lists_6th_gen_enriched
Resident Evil 4,Resident Evil,2005,6th Generation,Nintendo GameCube,,Capcom,Capcom Production Studio 4,Survival Horror,High,,game_lists_6th_gen_enriched
Resident Evil - Code: Veronica X,Resident Evil,2003,6th Generation,Nintendo GameCube,,Capcom,Capcom Production Studio 4,Survival Horror,High,,game_lists_6th_gen_enriched
Resident Evil: Deadly Silence,Resident Evil,2006,6th Generation,Nintendo DS,,Capcom,Capcom,Survival Horror,High,,game_lists_6th_gen_enriched
Resident Evil Survivor 2 - Code: Veronica,Resident Evil,2001,6th Generation,Sony PlayStation 2,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
Resident Evil Zero,Resident Evil,2002,6th Generation,Nintendo GameCube,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
Resistance: Retribution,Resistance,2009,6th Generation,Sony PlayStation Portable,,Sony Interactive Entertainment,Bend Studio,Third-person Shooter,High,,game_lists_6th_gen_enriched
Scooby-Doo! First Frights,Scooby-Doo!,2009,6th Generation,Sony PlayStation 2,,THQ,A2M,Action-adventure,Medium,Developer varies by title/platform.,game_lists_6th_gen_enriched
Scooby-Doo! Mystery Mayhem,Scooby-Doo!,2004,6th Generation,Sony PlayStation 2,,THQ,A2M,Action-adventure,Medium,Developer varies by title/platform.,game_lists_6th_gen_enriched
Scooby-Doo! Night of 100 Frights,Scooby-Doo!,2002,6th Generation,Sony PlayStation 2,,THQ,A2M,Action-adventure,Medium,Developer varies by title/platform.,game_lists_6th_gen_enriched
Scooby-Doo! and the Spooky Swamp,Scooby-Doo!,2010,6th Generation,Sony PlayStation 2,,THQ,A2M,Action-adventure,Medium,Developer varies by title/platform.,game_lists_6th_gen_enriched
Scooby-Doo! Unmasked,Scooby-Doo!,2005,6th Generation,Sony PlayStation 2,,THQ,A2M,Action-adventure,Medium,Developer varies by title/platform.,game_lists_6th_gen_enriched
Scooby-Doo!,Scooby-Doo!,2002,6th Generation,Nintendo GameBoy Advance,,THQ,A2M,Action-adventure,Medium,Developer varies by title/platform.,game_lists_6th_gen_enriched
Scooby-Doo 2: Monsters Unleashed,Scooby-Doo!,2004,6th Generation,Nintendo GameBoy Advance,,THQ,A2M,Action-adventure,Medium,Developer varies by title/platform.,game_lists_6th_gen_enriched
Scooby-Doo and the Cyber Chase,Scooby-Doo!,2001,6th Generation,Nintendo GameBoy Advance,,THQ,"Art Co., Ltd.",Action-adventure,Medium,,game_lists_6th_gen_enriched
Scooby-Doo! Mystery Mayhem,Scooby-Doo!,2003,6th Generation,Nintendo GameBoy Advance,,THQ,A2M,Action-adventure,Medium,Developer varies by title/platform.,game_lists_6th_gen_enriched
Scooby-Doo! Unmasked,Scooby-Doo!,2005,6th Generation,Nintendo GameBoy Advance,,THQ,A2M,Action-adventure,Medium,Developer varies by title/platform.,game_lists_6th_gen_enriched
Scooby-Doo! Mystery Mayhem,Scooby-Doo!,2004,6th Generation,Nintendo GameCube,,THQ,A2M,Action-adventure,Medium,Developer varies by title/platform.,game_lists_6th_gen_enriched
Scooby-Doo! Night of 100 Frights,Scooby-Doo!,2002,6th Generation,Nintendo GameCube,,THQ,A2M,Action-adventure,Medium,Developer varies by title/platform.,game_lists_6th_gen_enriched
Scooby-Doo! Unmasked,Scooby-Doo!,2005,6th Generation,Nintendo GameCube,,THQ,A2M,Action-adventure,Medium,Developer varies by title/platform.,game_lists_6th_gen_enriched
Scooby-Doo! and the Spooky Swamp,Scooby-Doo!,2010,6th Generation,Nintendo DS,,THQ,A2M,Action-adventure,Medium,Developer varies by title/platform.,game_lists_6th_gen_enriched
Scooby-Doo! First Frights,Scooby-Doo!,2009,6th Generation,Nintendo DS,,THQ,A2M,Action-adventure,Medium,Developer varies by title/platform.,game_lists_6th_gen_enriched
Scooby-Doo! Unmasked,Scooby-Doo!,2005,6th Generation,Nintendo DS,,THQ,A2M,Action-adventure,Medium,Developer varies by title/platform.,game_lists_6th_gen_enriched
Scooby-Doo! Who’s Watching Who?,Scooby-Doo!,2006,6th Generation,Nintendo DS,,THQ,A2M,Action-adventure,Medium,Developer varies by title/platform.,game_lists_6th_gen_enriched
Scooby-Doo! Who's Watching Who?,Scooby-Doo!,2006,6th Generation,Sony PlayStation Portable,,THQ,A2M,Action-adventure,Medium,Developer varies by title/platform.,game_lists_6th_gen_enriched
Scribblenauts,Scribblenauts,2009,6th Generation,Nintendo DS,,Warner Bros. Interactive Entertainment,5th Cell,Puzzle,High,,game_lists_6th_gen_enriched
Super Scribblenauts,Scribblenauts,2010,6th Generation,Nintendo DS,,Warner Bros. Interactive Entertainment,5th Cell,Puzzle,High,,game_lists_6th_gen_enriched
Shrek Smash n’ Crash,Shrek,2006,6th Generation,Sony PlayStation 2,,Activision,Torus Games,Racing,Medium,,game_lists_6th_gen_enriched
Shrek SuperSlam,Shrek,2005,6th Generation,Sony PlayStation 2,,Activision,Shaba Games,Fighting,Medium,,game_lists_6th_gen_enriched
Shrek the Third,Shrek,2005,6th Generation,Sony PlayStation 2,,Activision,,Action,Medium,,game_lists_6th_gen_enriched
Shrek 2,Shrek,2004,6th Generation,Sony PlayStation 2,,Activision,,Action,Medium,,game_lists_6th_gen_enriched
Shrek: Super Party,Shrek,2002,6th Generation,Sony PlayStation 2,,Activision,,Party,Medium,,game_lists_6th_gen_enriched
